"","Pass_test"
"1","1"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","0"
"12","1"
"13","0"
"14","0"
"15","0"
"16","1"
"17","0"
"18","0"
"19","0"
"20","0"
"21","1"
"22","1"
"23","0"
"24","1"
"25","0"
"26","1"
"27","0"
"28","1"
"29","0"
"30","0"
"31","0"
"32","0"
"33","1"
"34","1"
"35","1"
"36","1"
"37","1"
"38","0"
"39","0"
"40","1"
"41","0"
"42","1"
"43","1"
"44","1"
"45","0"
"46","0"
"47","1"
"48","1"
"49","1"
"50","0"
"51","0"
"52","0"
"53","0"
"54","1"
"55","1"
"56","1"
"57","1"
"58","1"
"59","0"
"60","0"
"61","1"
"62","0"
"63","0"
"64","1"
"65","0"
"66","0"
"67","1"
"68","1"
"69","0"
"70","0"
"71","0"
"72","1"
"73","1"
"74","0"
"75","1"
"76","1"
"77","1"
"78","0"
"79","1"
"80","1"
"81","0"
"82","0"
"83","1"
"84","0"
"85","0"
"86","1"
"87","1"
"88","0"
"89","0"
"90","1"
"91","1"
"92","0"
"93","1"
"94","0"
"95","0"
"96","1"
"97","1"
"98","0"
"99","0"
"100","0"
"101","0"
"102","0"
"103","0"
"104","0"
"105","0"
"106","0"
"107","1"
"108","0"
"109","0"
"110","1"
"111","0"
"112","0"
"113","0"
"114","0"
"115","0"
"116","0"
"117","0"
"118","1"
"119","0"
"120","1"
"121","0"
"122","0"
"123","0"
"124","0"
"125","0"
"126","0"
"127","1"
"128","0"
"129","0"
"130","1"
"131","1"
"132","1"
"133","0"
"134","1"
"135","1"
"136","1"
"137","1"
"138","0"
"139","0"
"140","0"
"141","1"
"142","0"
"143","0"
"144","1"
"145","0"
"146","0"
"147","1"
"148","0"
"149","0"
"150","0"
"151","1"
"152","1"
"153","0"
"154","0"
"155","0"
"156","0"
"157","0"
"158","0"
"159","1"
"160","1"
"161","0"
"162","0"
"163","1"
"164","0"
"165","0"
"166","1"
"167","0"
"168","0"
"169","0"
"170","0"
"171","0"
"172","1"
"173","1"
"174","1"
"175",NA
"176","1"
"177","0"
"178","1"
"179","0"
"180","0"
"181","1"
"182","0"
"183","1"
"184","0"
"185","0"
"186","1"
"187","1"
"188","1"
"189","0"
"190","0"
"191","0"
"192","1"
"193","1"
"194","0"
"195","0"
"196","0"
"197","1"
"198","0"
"199","1"
"200","0"
"201","0"
"202","1"
"203","1"
"204","1"
"205","0"
"206","1"
"207","1"
"208","0"
"209","1"
"210","0"
"211","1"
"212","0"
"213","0"
"214","1"
"215","0"
"216","0"
"217","1"
"218","0"
"219","1"
"220","0"
"221","1"
"222","0"
"223","1"
"224","1"
"225","0"
"226","0"
"227","0"
"228","0"
"229","0"
"230","0"
"231","1"
"232","0"
"233","1"
"234","0"
"235","0"
"236","1"
"237","0"
"238","0"
"239","1"
"240","0"
"241","0"
"242","0"
"243","1"
"244","1"
"245","0"
"246","0"
"247","0"
"248","0"
"249","1"
"250","1"
"251","0"
"252","1"
"253","0"
"254","0"
"255","0"
"256","0"
"257","1"
"258","0"
"259","1"
"260","0"
"261","0"
"262","1"
"263","0"
"264","1"
"265","0"
"266","0"
"267","1"
"268","0"
"269","1"
"270","0"
"271","0"
"272","0"
"273","1"
"274","0"
"275","1"
"276","0"
"277","0"
"278","1"
"279","0"
"280","1"
"281","1"
"282","1"
"283","0"
"284","0"
"285","0"
"286","1"
"287","0"
"288","1"
"289","0"
"290","0"
"291","1"
"292","0"
"293","0"
"294","0"
